,municipality,has360,priceByArea,parkingSpace,propertyCode,hasLift,operation,country,distance,exterior,longitude,rooms,hasStaging,address,district,has3DTour,bathrooms,externalReference,topNewDevelopment,price,neighborhood,hasVideo,detailedType,numPhotos,thumbnail,size,url,newDevelopmentFinished,newDevelopment,latitude,propertyType,floor,status,suggestedTexts,showAddress,province,hasPlan,di_re,di
10,Barcelona,True,4813.0,,91903169,True,sale,es,256,True,2.1279846,5,False,barrio Sarrià,Sarrià-Sant Gervasi,False,2,2441,False,770000.0,Sarrià,False,"Row(subTypology=None, typology='flat')",19,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/63/51/826089004.jpg,160.0,https://www.idealista.com/inmueble/91903169/,,False,41.3938308,flat,2,good,"Row(subtitle='Sarrià, Barcelona', title='Piso')",False,Barcelona,True,,
11,Barcelona,False,5046.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",90072619,True,sale,es,531,True,2.1285839,4,False,Paseo de Manuel Girona,Sarrià-Sant Gervasi,False,4,019273,False,1095000.0,Sarrià,False,"Row(subTypology=None, typology='flat')",30,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/80/20/782550589.jpg,217.0,https://www.idealista.com/inmueble/90072619/,,False,41.3913301,flat,4,good,"Row(subtitle='Sarrià, Barcelona', title='Piso en Paseo de Manuel Girona')",False,Barcelona,True,,
12,Barcelona,False,5890.0,,87920816,True,sale,es,617,True,2.1246005,3,False,Calle del Capità Arenas,Les Corts,False,1,019245,False,430000.0,Pedralbes,False,"Row(subTypology=None, typology='flat')",27,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/1f/b4/734296870.jpg,73.0,https://www.idealista.com/inmueble/87920816/,,False,41.3904641,flat,8,renew,"Row(subtitle='Pedralbes, Barcelona', title='Piso en Calle del Capità Arenas')",False,Barcelona,True,,
13,Barcelona,False,8621.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92176342,True,sale,es,660,True,2.118681,5,False,barrio Pedralbes,Les Corts,False,6,BCN26015,False,3500000.0,Pedralbes,False,"Row(subTypology='penthouse', typology='flat')",59,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/5d/89/832827696.jpg,406.0,https://www.idealista.com/inmueble/92176342/,,False,41.394721,penthouse,,good,"Row(subtitle='Pedralbes, Barcelona', title='Ático')",False,Barcelona,True,,
14,Barcelona,False,12277.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",81345140,,sale,es,577,False,2.1333346,2,False,barrio Les Tres Torres,Sarrià-Sant Gervasi,False,3,BCN11347,False,2750000.0,Les Tres Torres,False,"Row(subTypology=None, typology='chalet')",45,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/59/83/575091742.jpg,224.0,https://www.idealista.com/inmueble/81345140/,,False,41.396468,chalet,,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Chalet')",False,Barcelona,True,,
15,Barcelona,False,6553.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",90571031,True,sale,es,648,True,2.1291549,6,False,barrio Les Tres Torres,Sarrià-Sant Gervasi,False,5,BCN24619,False,2300000.0,Les Tres Torres,False,"Row(subTypology=None, typology='flat')",43,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/bb/d9/793414034.jpg,351.0,https://www.idealista.com/inmueble/90571031/,,False,41.401307,flat,,renew,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso')",False,Barcelona,True,,
16,Barcelona,False,5828.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92890890,True,sale,es,792,True,2.1350011,4,False,Via Augusta,Sarrià-Sant Gervasi,True,4,10650,False,1690000.0,Sant Gervasi - Galvany,False,"Row(subTypology='penthouse', typology='flat')",62,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/8c/99/850347791.jpg,290.0,https://www.idealista.com/inmueble/92890890/,,False,41.3989684,penthouse,,good,"Row(subtitle='Sant Gervasi - Galvany, Barcelona', title='Ático en Via Augusta')",False,Barcelona,True,,
17,Barcelona,False,7012.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",93180492,True,sale,es,860,True,2.1278735,3,False,barrio Les Tres Torres,Sarrià-Sant Gervasi,False,3,VB2103012,False,1150000.0,Les Tres Torres,True,"Row(subTypology=None, typology='flat')",42,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/fa/5f/856319596.jpg,164.0,https://www.idealista.com/inmueble/93180492/,,False,41.4035056,flat,en,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso')",False,Barcelona,False,,
18,Barcelona,False,6270.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",91626719,True,sale,es,353,True,2.1222336,3,False,barrio Sarrià,Sarrià-Sant Gervasi,False,2,VB2003023-5,False,790000.0,Sarrià,False,"Row(subTypology=None, typology='flat')",30,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/2c/a4/819372712.jpg,126.0,https://www.idealista.com/inmueble/91626719/,,False,41.3960794,flat,1,good,"Row(subtitle='Sarrià, Barcelona', title='Piso')",False,Barcelona,True,,
19,Barcelona,False,7125.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",91213761,True,sale,es,712,False,2.1245468,4,False,barrio Sarrià,Sarrià-Sant Gervasi,False,3,W-02JDHD,False,1140000.0,Sarrià,False,"Row(subTypology=None, typology='flat')",44,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/df/39/10/809287139.jpg,160.0,https://www.idealista.com/inmueble/91213761/,,False,41.4020774,flat,3,good,"Row(subtitle='Sarrià, Barcelona', title='Piso')",False,Barcelona,True,,
